"name","orig.ident","nCount_RNA","nFeature_RNA","percent.mito","percent.mt","seurat_clusters","neuron_cluster"
"hypothalamus-JM-1_DB4836_N1","hypothalamus-JM-1",3615,2107,0.001659751,0.165975104,3,3
"hypothalamus-JM-1_DB1563_N1","hypothalamus-JM-1",3121,1949,0.00128164,0.12816405,4,14
"hypothalamus-JM-1_DB1285_N1","hypothalamus-JM-1",7626,3386,0.005507474,0.550747443,0,0
"hypothalamus-JM-1_DB1248_N1","hypothalamus-JM-1",6443,2967,0.008225982,0.822598169,1,1
"hypothalamus-JM-1_DB554_N1","hypothalamus-JM-1",2833,1382,0.001764914,0.176491352,5,NA
"hypothalamus-JM-1_DB6300_N1","hypothalamus-JM-1",2931,1635,0.005458888,0.545888775,8,NA
"hypothalamus-JM-1_DB3285_N1","hypothalamus-JM-1",6483,3115,0.001079747,0.107974703,0,0
"hypothalamus-JM-1_DB1474_N1","hypothalamus-JM-1",6580,3140,0.001215805,0.121580547,1,1
"hypothalamus-JM-1_DB1792_N1","hypothalamus-JM-1",7396,3280,0.001081666,0.108166577,1,1
"hypothalamus-JM-1_DB3747_N1","hypothalamus-JM-1",2724,1465,0.001468429,0.146842878,2,NA
"hypothalamus-JM-1_DB4903_N1","hypothalamus-JM-1",5670,2630,0.001763668,0.176366843,1,4
"hypothalamus-JM-1_DB802_N1","hypothalamus-JM-1",10887,3752,0.009920088,0.992008818,1,5
"hypothalamus-JM-1_DB2107_N1","hypothalamus-JM-1",6945,3171,0.004607631,0.460763139,0,2
"hypothalamus-JM-1_DB2071_N1","hypothalamus-JM-1",9758,3853,0.00112728,0.112728018,3,3
"hypothalamus-JM-1_DB2990_N1","hypothalamus-JM-1",18068,5388,0.001217622,0.121762232,7,2
"hypothalamus-JM-1_DB4364_N1","hypothalamus-JM-1",5878,2644,0.002381763,0.23817625,0,2
"hypothalamus-JM-1_DB4138_N1","hypothalamus-JM-1",5996,2703,0.001334223,0.133422282,0,0
"hypothalamus-JM-1_DB207_N1","hypothalamus-JM-1",8615,3385,0.002089379,0.208937899,0,0
"hypothalamus-JM-1_DB1755_N1","hypothalamus-JM-1",9684,3918,0.00330442,0.330441966,4,14
"hypothalamus-JM-1_DB1601_N1","hypothalamus-JM-1",9419,4235,0.006051598,0.605159783,9,NA
"hypothalamus-JM-1_DB737_N1","hypothalamus-JM-1",7816,3491,0.005501535,0.550153531,12,NA
"hypothalamus-JM-1_DB2375_N1","hypothalamus-JM-1",6448,2397,0.001861042,0.186104218,5,NA
"hypothalamus-JM-1_DB216_N2","hypothalamus-JM-1",10843,4266,0.001844508,0.184450798,12,NA
"hypothalamus-JM-1_DB3952_N1","hypothalamus-JM-1",6905,3129,0.001737871,0.173787111,11,11
"hypothalamus-JM-1_DB2547_N1","hypothalamus-JM-1",6072,2931,0.067193676,6.719367589,13,NA
"hypothalamus-JM-1_DB1579_N1","hypothalamus-JM-1",16153,5544,0.001114344,0.111434408,1,1
"hypothalamus-JM-1_DB115_N1","hypothalamus-JM-1",4486,2367,0.017387428,1.738742755,0,2
"hypothalamus-JM-1_DB3079_N1","hypothalamus-JM-1",19185,5938,0.001250977,0.125097733,7,5
"hypothalamus-JM-1_DB3892_N2","hypothalamus-JM-1",9810,3686,0.001223242,0.122324159,1,6
"hypothalamus-JM-1_DB680_N1","hypothalamus-JM-1",9002,3693,0.001444124,0.144412353,12,NA
"hypothalamus-JM-1_DB2284_N1","hypothalamus-JM-1",12409,4762,0.001289387,0.128938674,3,2
"hypothalamus-JM-1_DB366_N1","hypothalamus-JM-1",18037,5371,0.001330598,0.133059821,12,NA
"hypothalamus-JM-1_DB1570_N2","hypothalamus-JM-1",8858,3670,0.002032061,0.203206141,3,3
"hypothalamus-JM-1_DB3909_N2","hypothalamus-JM-1",9143,3673,0.001531226,0.153122607,0,0
"hypothalamus-JM-1_DB4385_N1","hypothalamus-JM-1",4493,2209,0.002670821,0.267082128,0,0
"hypothalamus-JM-1_DB5904_N1","hypothalamus-JM-1",16278,5673,0.003931687,0.393168694,9,NA
"hypothalamus-JM-1_DB896_N3","hypothalamus-JM-1",11654,4331,0.002145186,0.21451862,3,9
"hypothalamus-JM-1_DB1902_N2","hypothalamus-JM-1",13885,5359,0.005401512,0.540151242,10,NA
"hypothalamus-JM-1_DB1049_N1","hypothalamus-JM-1",9004,3619,0.001332741,0.1332741,1,1
"hypothalamus-JM-1_DB1854_N1","hypothalamus-JM-1",6519,2675,0.002147569,0.214756865,0,10
"hypothalamus-JM-1_DB1880_N2","hypothalamus-JM-1",5732,2649,0.002442428,0.244242847,7,2
"hypothalamus-JM-1_DB617_N1","hypothalamus-JM-1",5288,2250,0.001512859,0.15128593,5,NA
"hypothalamus-JM-1_DB3739_N2","hypothalamus-JM-1",11051,4222,0.003529092,0.352909239,10,NA
"hypothalamus-JM-1_DB3032_N1","hypothalamus-JM-1",6599,2758,0.001515381,0.151538112,0,0
"hypothalamus-JM-1_DB3803_N1","hypothalamus-JM-1",3366,1877,0.031491384,3.149138443,8,NA
"hypothalamus-JM-1_DB2767_N1","hypothalamus-JM-1",10598,4358,0.005095301,0.5095301,0,0
"hypothalamus-JM-1_DB6420_N1","hypothalamus-JM-1",4637,2016,0.001725253,0.17252534,3,3
"hypothalamus-JM-1_DB4502_N2","hypothalamus-JM-1",5893,2754,0.001018157,0.101815714,0,0
"hypothalamus-JM-1_DB3256_N1","hypothalamus-JM-1",10409,3896,0.005091748,0.509174753,1,7
"hypothalamus-JM-1_DB5265_N1","hypothalamus-JM-1",3260,1606,0.01809816,1.809815951,5,NA
"hypothalamus-JM-1_DB6646_N1","hypothalamus-JM-1",3400,1855,0.035882353,3.588235294,8,NA
"hypothalamus-JM-1_DB1040_N1","hypothalamus-JM-1",6404,2988,0.001561524,0.156152405,0,2
"hypothalamus-JM-1_DB5883_N1","hypothalamus-JM-1",5967,2610,0.001340707,0.134070722,3,3
"hypothalamus-JM-1_DB1558_N1","hypothalamus-JM-1",15259,4806,0.001179632,0.117963169,0,6
"hypothalamus-JM-1_DB5252_N1","hypothalamus-JM-1",9231,3825,0.007149821,0.714982125,11,11
"hypothalamus-JM-1_DB2102_N1","hypothalamus-JM-1",5468,2210,0.002743233,0.274323336,5,NA
"hypothalamus-JM-1_DB1622_N1","hypothalamus-JM-1",3497,2146,0.001143838,0.114383758,13,NA
"hypothalamus-JM-1_DB578_N1","hypothalamus-JM-1",5592,2708,0.001430615,0.143061516,3,3
"hypothalamus-JM-1_DB372_N2","hypothalamus-JM-1",10025,3673,0.003092269,0.309226933,7,7
"hypothalamus-JM-1_DB1993_N1","hypothalamus-JM-1",5217,2392,0.00364194,0.364193981,0,13
"hypothalamus-JM-1_DB5555_N1","hypothalamus-JM-1",10247,4311,0.004684298,0.468429784,9,NA
"hypothalamus-JM-1_DB2452_N1","hypothalamus-JM-1",3118,1485,0.001282874,0.128287364,5,NA
"hypothalamus-JM-1_DB980_N1","hypothalamus-JM-1",7542,3395,0.001193317,0.119331742,0,3
"hypothalamus-JM-1_DB4709_N1","hypothalamus-JM-1",6719,2927,0.009674059,0.967405864,11,11
"hypothalamus-JM-1_DB5036_N1","hypothalamus-JM-1",10858,4443,0.006354761,0.635476147,10,NA
"hypothalamus-JM-1_DB192_N1","hypothalamus-JM-1",5307,2503,0.001695873,0.169587337,2,NA
"hypothalamus-JM-1_DB48_N2","hypothalamus-JM-1",10869,3931,0.002208115,0.220811482,7,3
"hypothalamus-JM-1_DB3156_N1","hypothalamus-JM-1",9130,3634,0.003066813,0.306681271,7,3
"hypothalamus-JM-1_DB3626_N1","hypothalamus-JM-1",11523,3947,0.00147531,0.147531025,7,0
"hypothalamus-JM-1_DB4074_N1","hypothalamus-JM-1",5754,2845,0.001216545,0.121654501,0,0
"hypothalamus-JM-1_DB6477_N1","hypothalamus-JM-1",4103,2147,0.002680965,0.268096515,0,2
"hypothalamus-JM-1_DB2290_N2","hypothalamus-JM-1",5666,2640,0.004412284,0.44122838,4,10
"hypothalamus-JM-1_DB6359_N1","hypothalamus-JM-1",3992,2014,0.003006012,0.300601202,0,5
"hypothalamus-JM-1_DB6800_N1","hypothalamus-JM-1",6192,2700,0.001130491,0.113049096,3,9
